state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),Paddy,15/01/2021,1350,1400,1375
Chattisgarh,Bilaspur,Sakri,Paddy(Dhan)(Common),Paddy,15/01/2021,1400,1400,1400
Chattisgarh,Bilaspur,Takhatpur,Paddy(Dhan)(Common),Paddy,15/01/2021,1868,1868,1868
Chattisgarh,Bilaspur,Takhatpur,Paddy(Dhan)(Common),Paddy fine,15/01/2021,1888,1888,1888
Chattisgarh,Durg,Durg,Apple,Apple,15/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,15/01/2021,600,800,700
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,15/01/2021,2800,3200,3000
Chattisgarh,Durg,Durg,Bitter gourd,Bitter Gourd,15/01/2021,2800,3000,2900
Chattisgarh,Durg,Durg,Bottle gourd,Bottle Gourd,15/01/2021,800,1000,900
Chattisgarh,Durg,Durg,Brinjal,Round/Long,15/01/2021,600,800,700
Chattisgarh,Durg,Durg,Cabbage,Cabbage,15/01/2021,800,900,850
Chattisgarh,Durg,Durg,Capsicum,Capsicum,15/01/2021,2000,2100,2050
Chattisgarh,Durg,Durg,Carrot,Carrot,15/01/2021,1500,1700,1600
Chattisgarh,Durg,Durg,Cauliflower,Cauliflower,15/01/2021,800,1000,900
Chattisgarh,Durg,Durg,Chikoos(Sapota),Sapota,15/01/2021,3000,5000,4000
Chattisgarh,Durg,Durg,Coriander(Leaves),Coriander,15/01/2021,2800,3000,2900
Chattisgarh,Durg,Durg,Cucumbar(Kheera),Cucumbar,15/01/2021,500,700,600
Chattisgarh,Durg,Durg,Garlic,Average,15/01/2021,12000,13000,12500
Chattisgarh,Durg,Durg,Ginger(Green),Green Ginger,15/01/2021,3200,3600,3400
Chattisgarh,Durg,Durg,Green Chilli,Green Chilly,15/01/2021,2600,3000,2800
Chattisgarh,Durg,Durg,Guar,Gwar,15/01/2021,2600,3000,2800
Chattisgarh,Durg,Durg,Guava,Guava Navalur,15/01/2021,2000,2400,2200
Chattisgarh,Durg,Durg,Knool Khol,Knool Khol,15/01/2021,800,1000,900
Chattisgarh,Durg,Durg,Lemon,Lemon,15/01/2021,4000,5000,4500
Chattisgarh,Durg,Durg,Little gourd (Kundru),Little gourd (Kundru),15/01/2021,1300,1500,1400
Chattisgarh,Durg,Durg,Methi(Leaves),Methi,15/01/2021,1500,1600,1550
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Mousambi,15/01/2021,4000,6000,5000
Chattisgarh,Durg,Durg,Onion,Nasik,15/01/2021,1800,2200,2000
Chattisgarh,Durg,Durg,Orange,Nagpuri,15/01/2021,4000,5000,4500
Chattisgarh,Durg,Durg,Paddy(Dhan)(Common),Paddy Coarse,15/01/2021,1430,1480,1455
Chattisgarh,Durg,Durg,Papaya (Raw),Papaya (Raw),15/01/2021,1000,1400,1200
Chattisgarh,Durg,Durg,Pear(Marasebu),Pears,15/01/2021,3000,5000,4000
Chattisgarh,Durg,Durg,Peas Wet,Peas Wet,15/01/2021,1400,1600,1500
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,15/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Potato,Potato,15/01/2021,1300,1500,1400
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,15/01/2021,300,500,400
Chattisgarh,Durg,Durg,Raddish,Raddish,15/01/2021,700,900,800
Chattisgarh,Durg,Durg,Sweet Potato,Sweet Potato,15/01/2021,2000,2200,2100
Chattisgarh,Durg,Durg,Tinda,Tinda,15/01/2021,1000,1200,1100
Chattisgarh,Durg,Durg,Tomato,Tomato,15/01/2021,200,400,300
Chattisgarh,Janjgir,Champa,Paddy(Dhan)(Common),Paddy,15/01/2021,1450,1450,1450
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,15/01/2021,1500,1500,1500
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,15/01/2021,1500,1500,1500
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,15/01/2021,1500,1500,1500
Chattisgarh,Narayanpur,Narayanpur,Maize,Local,15/01/2021,1000,1100,1050
Chattisgarh,Narayanpur,Narayanpur,Paddy(Dhan)(Common),Paddy Coarse,15/01/2021,1300,1400,1350
Chattisgarh,Raigarh,Raigarh,Onion,Other,15/01/2021,3500,4000,3500
Chattisgarh,Raigarh,Raigarh,Potato,Other,15/01/2021,900,1100,1000
Chattisgarh,Raigarh,Raigarh,Tomato,Other,15/01/2021,400,500,400
Chattisgarh,Rajnandgaon,Dongargarh,Mahua,Other,15/01/2021,3000,3000,3000
Chattisgarh,Surajpur,Surajpur,Paddy(Dhan)(Common),I.R. 36,15/01/2021,1890,1890,1890
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,15/01/2021,275,275,275
Gujarat,Amreli,Babra,Cotton,Other,15/01/2021,5200,5875,5535
Gujarat,Amreli,Babra,Groundnut,Other,15/01/2021,4685,5065,4875
Gujarat,Amreli,Babra,"Sesamum(Sesame,Gingelly,Til)",White,15/01/2021,5325,7175,6250
Gujarat,Amreli,Bagasara,Cotton,Other,15/01/2021,4500,5770,5135
Gujarat,Amreli,Bagasara,Wheat,Lokwan Gujrat,15/01/2021,1700,1850,1775
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,15/01/2021,1400,1600,1500
Gujarat,Amreli,Damnagar,Brinjal,Other,15/01/2021,900,1100,1000
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,15/01/2021,500,700,600
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,15/01/2021,600,800,700
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,15/01/2021,500,700,600
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,15/01/2021,500,700,600
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,15/01/2021,1400,1600,1500
Gujarat,Amreli,Damnagar,Guar,Gwar,15/01/2021,1500,1700,1600
Gujarat,Amreli,Damnagar,Lemon,Lemon,15/01/2021,1100,1300,1200
Gujarat,Amreli,Savarkundla,Arhar (Tur/Red Gram)(Whole),Small (Whole),15/01/2021,4900,6005,5453
Gujarat,Amreli,Savarkundla,Bajra(Pearl Millet/Cumbu),Deshi,15/01/2021,1340,1660,1500
Gujarat,Amreli,Savarkundla,Bengal Gram(Gram)(Whole),Desi (Whole),15/01/2021,3500,4200,3850
Gujarat,Amreli,Savarkundla,Black Gram (Urd Beans)(Whole),Black Gram (Whole),15/01/2021,5055,7585,6320
Gujarat,Amreli,Savarkundla,Cotton,Narma BT Cotton,15/01/2021,4925,5820,5373
Gujarat,Amreli,Savarkundla,Green Gram (Moong)(Whole),Green (Whole),15/01/2021,7000,7850,7425
Gujarat,Amreli,Savarkundla,Groundnut,Big (With Shell),15/01/2021,4075,5405,4740
Gujarat,Amreli,Savarkundla,Groundnut,Bold,15/01/2021,4105,5575,4840
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,15/01/2021,6000,9200,7600
Gujarat,Amreli,Savarkundla,Wheat,Bansi,15/01/2021,1615,1875,1745
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,15/01/2021,1590,1850,1720
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Onion,Other,15/01/2021,3000,3500,3250
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Potato,Other,15/01/2021,1200,1500,1350
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Tomato,Other,15/01/2021,1400,1600,1500
Gujarat,Banaskanth,Deesa,Bajra(Pearl Millet/Cumbu),Other,15/01/2021,1275,1445,1350
Gujarat,Banaskanth,Deesa,Castor Seed,Other,15/01/2021,4450,4456,4455
Gujarat,Banaskanth,Deesa,Groundnut,Other,15/01/2021,5175,5910,5825
Gujarat,Banaskanth,Deesa,Mustard,Other,15/01/2021,5105,5555,5500
Gujarat,Banaskanth,Deesa,"Sesamum(Sesame,Gingelly,Til)",Other,15/01/2021,8000,8000,8000
Gujarat,Banaskanth,Deesa,Wheat,Other,15/01/2021,1725,1800,1750
Gujarat,Banaskanth,Panthawada,Bajra(Pearl Millet/Cumbu),Deshi,15/01/2021,1350,1350,1350
Gujarat,Banaskanth,Panthawada,Castor Seed,Castor seed,15/01/2021,4400,4455,4427.5
Gujarat,Banaskanth,Panthawada,Groundnut,Other,15/01/2021,6000,6000,6000
Gujarat,Banaskanth,Panthawada,"Sesamum(Sesame,Gingelly,Til)",Other,15/01/2021,7360,7360,7360
